Derge	Lhasa	BuddhaNexus Link
D0001 	H0001 	https://buddhanexus.net/tib/text/K01D0001_H0001
D0001.2 	H0001.2 	https://buddhanexus.net/tib/text/K01D0001-2_H0001-2
D0001.3 	H0001.3 	https://buddhanexus.net/tib/text/K01D0001-3_H0001-3
D0001.4 	H0001.4 	https://buddhanexus.net/tib/text/K01D0001-4_H0001-4
D0002 	H0002 	https://buddhanexus.net/tib/text/K01D0002_H0002
D0003 	H0003 	https://buddhanexus.net/tib/text/K01D0003_H0003
D0003.2 	H0003.2 	https://buddhanexus.net/tib/text/K01D0003-2_H0003-2
D0003.3 	H0003.3 	https://buddhanexus.net/tib/text/K01D0003-3_H0003-3
D0003.4 	H0003.4 	https://buddhanexus.net/tib/text/K01D0003-4_H0003-4
D0004 	H0004 	https://buddhanexus.net/tib/text/K01D0004_H0004
D0005 	H0005 	https://buddhanexus.net/tib/text/K01D0005_H0005
D0006 	H0006 	https://buddhanexus.net/tib/text/K01D0006_H0006
D0006.2 	H0006.2 	https://buddhanexus.net/tib/text/K01D0006-2_H0006-2
D0007A 	H0007 	https://buddhanexus.net/tib/text/K01D0007A_H0007
D0007B 	H0008 	https://buddhanexus.net/tib/text/K01D0007B_H0008
D0007B.2 	H0008.2 	https://buddhanexus.net/tib/text/K01D0007B-2_H0008-2
D0008 	H0009 	https://buddhanexus.net/tib/text/K02D0008_H0009
D0008.2 	H0009.2 	https://buddhanexus.net/tib/text/K02D0008-2_H0009-2
D0008.3 	H0009.3 	https://buddhanexus.net/tib/text/K02D0008-3_H0009-3
D0008.4 	H0009.4 	https://buddhanexus.net/tib/text/K02D0008-4_H0009-4
D0008.5 	H0009.5 	https://buddhanexus.net/tib/text/K02D0008-5_H0009-5
D0008.6 	H0009.6 	https://buddhanexus.net/tib/text/K02D0008-6_H0009-6
D0008.7 	H0009.7 	https://buddhanexus.net/tib/text/K02D0008-7_H0009-7
D0008.8 	H0009.8 	https://buddhanexus.net/tib/text/K02D0008-8_H0009-8
D0008.9 	H0009.9 	https://buddhanexus.net/tib/text/K02D0008-9_H0009-9
D0008.10 	H0009.10 	https://buddhanexus.net/tib/text/K02D0008-10_H0009-10
D0008.11 	H0009.11 	https://buddhanexus.net/tib/text/K02D0008-11_H0009-11
D0008.12 	H0009.12 	https://buddhanexus.net/tib/text/K02D0008-12_H0009-12
D0009 	H0010 	https://buddhanexus.net/tib/text/K03D0009_H0010
D0009.2 	H0010.2 	https://buddhanexus.net/tib/text/K03D0009-2_H0010-2
D0009.3 	H0010.3 	https://buddhanexus.net/tib/text/K03D0009-3_H0010-3
D0012 	H0011 	https://buddhanexus.net/tib/text/K04D0012_H0011
D0010 	H0012 	https://buddhanexus.net/tib/text/K05D0010_H0012
D0010.2 	H0012.2 	https://buddhanexus.net/tib/text/K05D0010-2_H0012-2
D0010.3 	H0012.3 	https://buddhanexus.net/tib/text/K05D0010-3_H0012-3
D0011 	H0013 	https://buddhanexus.net/tib/text/K05D0011_H0013
D0011.2 	H0013.2 	https://buddhanexus.net/tib/text/K06D0011-2_H0013-2
D0014 	H0014 	https://buddhanexus.net/tib/text/K06D0014_H0014
D0024 	H0015 	https://buddhanexus.net/tib/text/K06D0024_H0015
D0015 	H0016 	https://buddhanexus.net/tib/text/K06D0015_H0016
D0013 	H0017 	https://buddhanexus.net/tib/text/K06D0013_H0017
D0016 	H0018 	https://buddhanexus.net/tib/text/K06D0016_H0018
D0017=D0489 	H0019=H0455 	https://buddhanexus.net/tib/text/K06D0017=D0489_H0019=H0455
D0025=D0553 	H0020=H0511 	https://buddhanexus.net/tib/text/K06D0025=D0553_H0020=H0511
D0018 	H0021 	https://buddhanexus.net/tib/text/K06D0018_H0021
D0023 	H0022 	https://buddhanexus.net/tib/text/K06D0023_H0022
D0019=D0554 	H0023=H0512 	https://buddhanexus.net/tib/text/K06D0019=D0554_H0023=H0512
D0022=D0530 	H0024=H0498 	https://buddhanexus.net/tib/text/K06D0022=D0530_H0024=H0498
D0020=D0491 	H0025=H0460 	https://buddhanexus.net/tib/text/K06D0020=D0491_H0025=H0460
D0021=D0531 	H0026=H0499 	https://buddhanexus.net/tib/text/K06D0021=D0531_H0026=H0499
D0026 	H0027 	https://buddhanexus.net/tib/text/K06D0026_H0027
D0027 	H0028 	https://buddhanexus.net/tib/text/K06D0027_H0028
D0028 	H0029 	https://buddhanexus.net/tib/text/K06D0028_H0029
D0029 	H0030 	https://buddhanexus.net/tib/text/K06D0029_H0030
D0030 	H0031 	https://buddhanexus.net/tib/text/K06D0030_H0031
D0031 	H0032 	https://buddhanexus.net/tib/text/K06D0031_H0032
D0032 	H0033 	https://buddhanexus.net/tib/text/K06D0032_H0033
D0033 	H0034 	https://buddhanexus.net/tib/text/K06D0033_H0034
D0034 	H0035 	https://buddhanexus.net/tib/text/K06D0034_H0035
D0035 	H0036 	https://buddhanexus.net/tib/text/K06D0035_H0036
D0036 	H0037 	https://buddhanexus.net/tib/text/K06D0036_H0037
D0037 	H0038 	https://buddhanexus.net/tib/text/K06D0037_H0038
D0038 	H0039 	https://buddhanexus.net/tib/text/K06D0038_H0039
D0039 	H0040 	https://buddhanexus.net/tib/text/K06D0039_H0040
D0040 	H0041 	https://buddhanexus.net/tib/text/K06D0040_H0041
D0041 	H0042 	https://buddhanexus.net/tib/text/K06D0041_H0042
D0042 	H0043 	https://buddhanexus.net/tib/text/K06D0042_H0043
D0043 	H0044 	https://buddhanexus.net/tib/text/K06D0043_H0044
D0045 	H0045 	https://buddhanexus.net/tib/text/K07D0045_H0045
D0046 	H0046 	https://buddhanexus.net/tib/text/K07D0046_H0046
D0047 	H0047 	https://buddhanexus.net/tib/text/K07D0047_H0047
D0048 	H0048 	https://buddhanexus.net/tib/text/K07D0048_H0048
D0049 	H0049 	https://buddhanexus.net/tib/text/K07D0049_H0049
D0050 	H0050 	https://buddhanexus.net/tib/text/K08D0050_H0050
D0051 	H0051 	https://buddhanexus.net/tib/text/K08D0051_H0051
D0052 	H0052 	https://buddhanexus.net/tib/text/K08D0052_H0052
D0053 	H0053 	https://buddhanexus.net/tib/text/K08D0053_H0053
D0054 	H0054 	https://buddhanexus.net/tib/text/K08D0054_H0054
D0055 	H0055 	https://buddhanexus.net/tib/text/K08D0055_H0055
D0056 	H0056 	https://buddhanexus.net/tib/text/K08D0056_H0056
D0058 	H0057 	https://buddhanexus.net/tib/text/K08D0058_H0057
D0057 	H0058 	https://buddhanexus.net/tib/text/K08D0057_H0058
D0059 	H0059 	https://buddhanexus.net/tib/text/K08D0059_H0059
D0060 	H0060 	https://buddhanexus.net/tib/text/K08D0060_H0060
D0061 	H0061 	https://buddhanexus.net/tib/text/K08D0061_H0061
D0062 	H0062 	https://buddhanexus.net/tib/text/K08D0062_H0062
D0063 	H0063 	https://buddhanexus.net/tib/text/K08D0063_H0063
D0064 	H0064 	https://buddhanexus.net/tib/text/K08D0064_H0064
D0065 	H0065 	https://buddhanexus.net/tib/text/K08D0065_H0065
D0066 	H0066 	https://buddhanexus.net/tib/text/K08D0066_H0066
D0067 	H0067 	https://buddhanexus.net/tib/text/K08D0067_H0067
D0068 	H0068 	https://buddhanexus.net/tib/text/K08D0068_H0068
D0069 	H0069 	https://buddhanexus.net/tib/text/K08D0069_H0069
D0070 	H0070 	https://buddhanexus.net/tib/text/K08D0070_H0070
D0071 	H0071 	https://buddhanexus.net/tib/text/K08D0071_H0071
D0072 	H0072 	https://buddhanexus.net/tib/text/K08D0072_H0072
D0073 	H0073 	https://buddhanexus.net/tib/text/K08D0073_H0073
D0074 	H0074 	https://buddhanexus.net/tib/text/K08D0074_H0074
D0075 	H0075 	https://buddhanexus.net/tib/text/K08D0075_H0075
D0076 	H0076 	https://buddhanexus.net/tib/text/K08D0076_H0076
D0077 	H0077 	https://buddhanexus.net/tib/text/K08D0077_H0077
D0078 	H0078 	https://buddhanexus.net/tib/text/K08D0078_H0078
D0079 	H0079 	https://buddhanexus.net/tib/text/K08D0079_H0079
D0080 	H0080 	https://buddhanexus.net/tib/text/K08D0080_H0080
D0081 	H0081 	https://buddhanexus.net/tib/text/K08D0081_H0081
D0082 	H0082 	https://buddhanexus.net/tib/text/K08D0082_H0082
D0083 	H0083 	https://buddhanexus.net/tib/text/K08D0083_H0083
D0084 	H0084 	https://buddhanexus.net/tib/text/K08D0084_H0084
D0085 	H0085 	https://buddhanexus.net/tib/text/K08D0085_H0085
D0086 	H0086 	https://buddhanexus.net/tib/text/K08D0086_H0086
D0087 	H0087 	https://buddhanexus.net/tib/text/K08D0087_H0087
D0088 	H0088 	https://buddhanexus.net/tib/text/K08D0088_H0088
D0089 	H0089 	https://buddhanexus.net/tib/text/K08D0089_H0089
D0090 	H0090 	https://buddhanexus.net/tib/text/K08D0090_H0090
D0091 	H0091 	https://buddhanexus.net/tib/text/K08D0091_H0091
D0092 	H0092 	https://buddhanexus.net/tib/text/K08D0092_H0092
D0093 	H0093 	https://buddhanexus.net/tib/text/K08D0093_H0093
D0044 	H0094 	https://buddhanexus.net/tib/text/K08D0044_H0094
D0044.2 	H0094.2 	https://buddhanexus.net/tib/text/K09D0044-2_H0094-2
D0044.3 	H0094.3 	https://buddhanexus.net/tib/text/K09D0044-3_H0094-3
D0044.4 	H0094.4 	https://buddhanexus.net/tib/text/K09D0044-4_H0094-4
D0044.5 	H0094.5 	https://buddhanexus.net/tib/text/K09D0044-5_H0094-5
D0044.6 	H0094.6 	https://buddhanexus.net/tib/text/K09D0044-6_H0094-6
D0094 	H0095 	https://buddhanexus.net/tib/text/K09D0094_H0095
D0095 	H0096 	https://buddhanexus.net/tib/text/K10D0095_H0096
D0096 	H0097 	https://buddhanexus.net/tib/text/K10D0096_H0097
D0097 	H0098 	https://buddhanexus.net/tib/text/K10D0097_H0098
D0098=D0721 	H0099 	https://buddhanexus.net/tib/text/K10D0098=D0721_H0099
D0145=D0847 	H0100 	https://buddhanexus.net/tib/text/K10D0145=D0847_H0100
