	title	vol	Name of Author	Claimed Provenance	start	end	Colophon
001(ka)001	skyabs 'gro yan lag drug pa/	1	Dri med bshes gnyen (Vimalamitra)	Ind	1	4	di la 'gyur byang mi snang yang | lta gcig d+Ai paM ka ra'i thugs dam chos chung brgya rtsa'i grangs su bzhugs pas tshad mar bzung ngo || dpe 'di spar ma dpe rnying rtsa chen zhig mkhan tshul khrims mthar phyin gyi phyag dpe las kho bo byang chub rgya mtshos rnyed de 'dzud pa'o ||
001(ka)002	skyabs 'gro yan lag drug pa dang bdun cu pa'i chos kyi bdag po rnams la gsol 'debs  brgyud ldan bla ma'i byin rlabs dpal ster/	1	dPal gyi seng+ge	NA	5	8	 ces pa 'adi'anga dpal gyi seng+gesa sbyar ba'o ||
001(ka)003	skyabs 'gro yan lag drug pa'i phyag yul dang skyabs gnas gsal 'debs/	1	dPal gyi seng+ge	NA	9	12	 zhes pa 'di yang dpal gyi seng+ges sbyar ba'o |||||  | 
001(ka)004	skyabs 'gro'i lung sbyor zla ba'i phreng mdzes/	1	dPal gyi seng+ge	NA	13	38	dkon mchog gsum la gzhol bar shog | ces skyabs 'gro bdun cu pa las gsungs pa ji bzhin te | gzhung don tshang bar sbyor ba yongs su rdzogs pa grub par gyur to || slar smras pa | bde dge ma lus dkon mchog gsum po dang || gang gi rigs yod kho na'i rten 'brel dbang || rang khams 'bras bur 'char byed thabs kun gzhi || skyabs 'gror rag na 'dir brtson su mi sgrim || de'i phyir lam kun gzhi rten ches brtan phyir || thar 'dod skye mang blo mig rgyas bya'i phyir || shing rta chen po rnams kyi gzhung sbrel ba'i || legs bshad dpal gyi seng ges brtson pas sbyar || de las byung dge dus gsum rnam dkar bcas || grub mtha' phyogs re sems can 'ga' 'ag'i phyir || yongs su chad pa'i bsngo ba log spangs te || sangs rgyas bstan 'phel 'gro kun thar phyir bsngo |||||  |
001(ka)005	skyabs 'gro yan lag drug pa'i lung sbyor sgron me'i phreng mdzes/	1	dPal gyi seng+ge	NA	39	70	ces pa 'di yang dpal gyi seng ge'i ming du 'bod pas sbyar ba'o ||
001(ka)006	skyabs 'gro yan lag drug pa'i spyi don/	1	dPal gyi seng+ge	NA	71	95	 zhes pa 'di'anga dpal gyi seng ge'i ming can gyis sbyar ba ste 'dis kyang 'gro ba ma lus pa dkon mchog gsum la gzhol bar gyur cig ||
001(ka)007	skyabs 'gro yan lag drug pa'i brgyud 'debs bsdus pa/	1	dPal gyi seng+ge	NA	95	95	 'dzam gling mdzes pa'i rgyan du 'phel rgyas shog | chos grwa chen po o rgyan smin grol gling du dpal gyi seng+ges gsol ba btab pa'o ||
001(ka)008	skyabs 'gro yan lag drug pa lag tu blang nas rim par klog pa'i thabs/	1	dPal gyi seng+ge	NA	95	100	ces pa 'adi'anga dpal gyi seng+gesa sbyar ba'o ||
001(ka)009	skyabs 'gro yan lag drug pa bshad pa'i bskyud byang zin ma TI ka	1	sMin gling mkhan chen 02 D+harma ShrI	Tib	101	120	zhes pa 'di yang sgra bsgyur gyi lo chen mkhan chen d+harma sh+r+Ai'i gsung 'bum las bar du dpe rgyun cher ma dar bas phyir khyab bdag dpal gyi sed+ge bka'i 'khor lo spyi bor phebs pas o rgyan smin grol gling du 'gyur med kun khyab kyi par du bskun pas lung rtogs kyi bstan pa rin po che dar zhing rgyas pa'i rgyur gyur cig ||
001(ka)010	skyabs 'gro yan lag drug pa'i sa bcad khol du phyungs pa/	1	Jigs bral ye shes rdo rje	Tib	121	124	zhes pa'ng blo 'dzin bde ba'i phyir lo chen d+harma sh+r+Ai'i zin ma Ti ka las sa bcad khol du phyungs pa ste 'jigs bral ye shes rdo rjes so ||
001(ka)011	zag med kyi chos sde tshan nyer gcig gis bstod pa/	1	Slob dpon dpa' bo	Tib	125	129	 ces pa 'di yang slob dpon dpa' bos mdzad pa'o || 
001(ka)012	thub bstod thabs mkhas ma 'bri gung skyobs pas mdzad pa/	1	 'Bri gung skyobs pa	Tib	129	131	ces pa 'di yang 'bri gung skyobs pas mdzad pa'o ||
001(ka)013	de bzhin gshegs pa khyed sku sogs shis smon/	1	Unknown		131	132	
001(ka)014	phags pa klu sgrub kyis mdzad pa'i smon lam nyi shu pa/	1	Nagarjuna	Ind	132	135	
001(ka)015	phags pa dkon mchog gsum rjes su dran pa/	1	Unknown		135	138	
001(ka)016	dkon mchog rjes dran gyi bsdus don bstan don legs par bshad pa/	1	dPal gyi seng+ge	NA	139	144	 smras pa | sh+AAkya'i rgyal po'i phrin las yongs rdzogs dbang || pad+ma skyes kyi byin rlabs snying sim pa || dpal gyi seng ges bsdus don rab sbyar dges || 'gro kun rin chen gsum la gzhol gyur cig |||
001(ka)017	thub dbang nye sras brgyad la phyag mchod bya tshul mdor bsdus phan bde'i snying po/	1	mKhyen brtse'i dbang po	Tib	145	150	 zhes pa'ng rje btsun 'jam pa'i dbyangs kyi rnam par 'phrul pa chos rgyal khri srong lde'u btsan gyi gsung gi rjes su 'brangs te mkhyen brtse'i dbang pos gsol ba btab pa dge legs su gyur cig ||
001(ka)018	thub dbang gnas brtan 'khor bcas la phyag mchod bya tshul mdor bsdus pa yid bzhin nor bu'i snying po/	1	mKhyen brtse'i dbang po	Tib	151	154	ces gsol ba gdab cing bkra shis pa'i tshig gis mtha' brgyan par bya'o || zhes pa pa'ng dang pa dang ldan pa rnams kyi ched du bya bral ba 'jam dbyangs mkhyen brtse'i dbang pos gsol ba btab pa de de bzhin du 'grub par gyur cig ||  
001(ka)019	o rgyan rje 'bangs nyer lnga 'khor bcas la gsol ba 'debs pa mdor bsdus byin rlabs snying po/	1	brTsi'i dbang po (mTsho skyes bla ma dgyes pa'i 'bangs mkhyen)	Tib	155	158	ces dbang blangs shing bsngo smon shis pa barjoda pas mtha' brgyan par bya'o || zhes pa'ng dad ldan na th+AA'i ming can gyis gsol ba btab pa ltar | mtsho skyes bla ma dgyes pa'i 'bangs mkhyen brtsi'i dbang pos bris pa sid+d+hira stu ||||| 
001(ka)020	gnas brtan phyag mchod dang 'brel bar cho ga mdor bsdus bya tshul/	1	Many+dzu g+ho Sha	Ind	159	168	ces sogs kyi bkra shis ci rigs barjoda mthar rol mo bya'o || zhes pa'ng many+dzu g+ho Shas bris pa dge || 
001(ka)021	thub chog byin rlabs gter mdzod/	1	Mi pham 'jam dbyangs rgya mtsho	Tib	169	176	zhes pa 'di ni bslab gsum nor bu'i mdzod mnga' dbon rin po che o rgyan bstan 'dzin nor bu nas bkra shis pa'i lha rdzas dang bcas te nan tan bskul ba yid la 'jags pa'i steng du | nye char yang dbon rin po che nyid nas sprul pa'i sku 'jigs med pad+ma bde chen la sbran te rin chen dang po sogs bkra shis pa'i lha rdzas kyi skyes dang bcas myur du grub par gyis zhes dam bzung gis bkas bskul ba la brten nas | ston pa mchog la mi phyed pa'i dad pa thob cing | dus mthar chos smra ba'i ming tsam 'dzin pa sh+AAkya'i rjes 'jug mi pham 'jam dbyangs rgya mtshos | rdza rdo rje 'phan phyug gi ri zhol phun tshogs nor bu'i gling du | kun ldan lcags byi gsar tshes cho 'phrul chen po'i zla ba'i yar tshes brgyad la grub par bgyis pa 'dis kyang bstan 'gro la phan pa rmad du byung ba rgyun mi 'chad par byed pa dang | tshul 'di mthong thos dran reg gi 'gro ba rnams kyi rgyud la ston pa'i dbang po'i byin rlabs mtshungs pa med pa mngon du 'jug par gyur cig |
